text,label
I love this product and would buy it again,1
This is the worst service I have ever used,0
Fast shipping and excellent quality,1
The app crashes every time I open it,0
Pretty good overall with only minor issues,1
Terrible battery life and poor build quality,0
Amazing support team and very helpful answers,1
The screen freezes and the device overheats,0
The interface is smooth and very intuitive,1
Customer support never solved my problem,0
I am impressed with the speed and accuracy,1
This update made everything worse,0
Absolutely fantastic user experience,1
I regret buying this item,0
The response time is fast and reliable,1
Frequent bugs make it unusable,0
It works exactly as expected,1
The instructions are confusing and incomplete,0
Great value for the money,1
The product stopped working after one day,0
